"PRODUCT_SKU";"CAT_1";"CAT_2";"PICTURE_URL";"BRAND";"SHIPPED_ITEM";"SHIPPED_ITEM_BEF_REJECTION";"GRS_REVENUE_BEF_REJECTION";"GRS_REVENUE_BEF_CANCELLATION";"AVAIL_BY_SIZE";"PAGE_VIEWS";"VISITORS";"IMPRESSIONS";"CLICS";"STOCK";"AVAILABILITY";"CURRENT_SELLOUT_ITEMS";"BLACKPRICE";"DISCOUTPRICE";"GROSSTURNOVEER";"RANK"
"AL028AWCWG83";"FOOTWEAR";"ANKLE BOOTS";"/A/L/AL028AWCWG83_1.jpg";"Aldo";20;46;178855;319500;"35:0 | 37:0 | 40:0 | 41:0 | 36:1 | 38:6 | 39:8 | Grand total:15";1480;1197;148976;896;15;0,428571429;0,5409836065573770491803278688524590163934;6390;4470;23,45098039215686274509803921568627450986;46
"LA002AWBOE84";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE84_1.jpg";"Lamania";75;99;105390,4730294348046912300575561927997747;312975,6674254296927892946690257668273733;"40:16 | 36:26 | 38:42 | 39:47 | 37:56 | Grand total:187";2960;2259;705460;1926;187;1;0,2721518987341772151898734177215189873418;2790;1250;5,7972972972972972972972972972972972973;47
"SP004AWDFJ27";"FOOTWEAR";"ANKLE BOOTS";"/S/P/SP004AWDFJ27_1.jpg";"Spurr";106;145;165473,5943487381947822321557697068643925;311670,3594297927721758676054655890892554;"10:0 | 6:0 | 7:0 | 8:0 | 9:2 | Grand total:2";5657;4275;667669;3260;2;0,2;0,6958525345622119815668202764976958525346;1990;1190;39,27083333333333333333333333333333333329;48
"LA002AWCUY95";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWCUY95_1_v1.jpg";"Lamania";79;126;277988,9369959713253527368293812258620369;310281,0595089352813425178964662598415485;"35:1 | 36:7 | 40:28 | 39:68 | 38:85 | 37:91 | Grand total:280";4467;3475;606749;2946;280;1;0,2098765432098765432098765432098765432099;2190;2190;5,11076443057722308892355694227769110764;49
"RO233AWCQB72";"FOOTWEAR";"ANKLE BOOTS";"/R/O/RO233AWCQB72_1.jpg";"Roberto Botticelli";4;5;92972,1437982240774252321898557716216657;303175,474983605109283535868369077115892;"36:0 | 38:0 | 39:0 | 40:0 | 37:1 | Grand total:1";193;164;84255;126;1;0,2;0,5;29990;22490;21,66666666666666666666666666666666666671;50
"WI064AWCYQ09";"FOOTWEAR";"ANKLE BOOTS";"/W/I/WI064AWCYQ09_1.jpg";"Wilmar";37;57;177555,1534193109756343487507716523834901;301091,8428989400249958941766286752422336;"37:0 | 38:0 | 39:0 | 41:0 | 40:1 | 36:3 | Grand total:4";1869;1182;527139;907;4;0,333333333;0,7722772277227722772277227722772277227723;4490;4040;35,28571428571428571428571428571428571423;51
"MA002AWDAL76";"FOOTWEAR";"ANKLE BOOTS";"/M/A/MA002AWDAL76_1.jpg";"Mango";28;56;169119,7863147495357329888133964649924942;300266,3823514196615785541445247635119013;"36:0 | 37:0 | 38:0 | 41:0 | 39:1 | 40:1 | Grand total:2";1967;1551;139320;981;2;0,333333333;0,7142857142857142857142857142857142857143;4499;2999;63,30434782608695652173913043478260869559;52
"LA002AWBOE44";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE44_1.jpg";"Lamania";62;91;219322,0682431040498415463653316714540973;298685,882803515386333044821175555794507;"36:0 | 37:0 | 38:0 | 40:8 | 39:11 | Grand total:19";3026;2351;206378;1670;19;0,4;0,8045602605863192182410423452768729641694;2990;2540;26,88636363636363636363636363636363636366;53
"MA002AWDAX61";"FOOTWEAR";"ANKLE BOOTS";"/M/A/MA002AWDAX61_1.jpg";"Mango";26;38;143242,1139891408961170796894781738428773;295354,1684337199798595040951609328826092;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | 41:0 | Grand total:0";1763;1286;112363;890;0;0;0,6774193548387096774193548387096774193548;5999;3999;47,04761904761904761904761904761904761906;54
"LO019AWCSW33";"FOOTWEAR";"ANKLE BOOTS";"/L/O/LO019AWCSW33_1_v1.jpg";"LOST INK.";41;75;243830,1057779767356449155098579034124958;294888,4823972481714036263272379608089134;"36:17 | 40:33 | 37:96 | 38:143 | 39:143 | Grand total:432";2312;1912;376271;1498;432;1;0,09;3790;3790;2,14050493962678375411635565312843029638;55
"SP004AWDME71";"FOOTWEAR";"ANKLE BOOTS";"/S/P/SP004AWDME71_1.jpg";"Spurr";67;101;165398,5818663271873592125361169712335315;293495,8731083562973603017438792392496689;"10:12 | 6:12 | 8:25 | 7:28 | 9:45 | Grand total:122";3524;2724;645537;2092;122;1;0,2843137254901960784313725490196078431373;2490;1860;8,41666666666666666666666666666666666667;56
"LA002AWBQE53";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBQE53_1.jpg";"Lamania";113;139;154342,8091795522157861501577268306402359;289687,1500160503158403749655048254598537;"36:0 | 37:0 | 39:0 | 40:0 | 38:1 | Grand total:1";5758;4522;426312;4736;1;0,2;0,6789297658862876254180602006688963210702;1990;1190;41,06818181818181818181818181818181818183;57
"SE011AWDGB30";"FOOTWEAR";"ANKLE BOOTS";"/S/E/SE011AWDGB30_1.jpg";"See by Chloe";4;8;122655,5208007655591088388535446669502716;284470,974001588127938548685544787822372;"38:0 | 40:0 | 36:1 | 37:1 | 39:1 | Grand total:3";296;245;104526;201;3;0,6;0,25;26990;21590;20,8;58
